id,email,external_id,date_created,admin,category,sync_date
19077,190777503@email.com,student_8644,2019-01-07 00:00:00,0,8,2019-01-08 00:00:00
8459,84599050@email.com,student_1230,2020-08-14 00:00:00,1,0,2020-08-15 00:00:00
457,4574423@email.com,student_5666,2019-09-19 00:00:00,1,6,2019-09-20 00:00:00
77,773297@email.com,student_7844,2019-10-31 00:00:00,0,9,2019-11-01 00:00:00
7125,71258995@email.com,student_8925,2019-06-22 00:00:00,0,8,2019-06-23 00:00:00
4373,43736026@email.com,student_8020,2019-09-13 00:00:00,0,4,2019-09-14 00:00:00
4926,4926850@email.com,student_7542,2019-03-10 00:00:00,1,3,2019-03-11 00:00:00
2194,21948020@email.com,student_3200,2019-07-15 00:00:00,0,9,2019-07-16 00:00:00
27754,277547016@email.com,student_869,2020-02-07 00:00:00,0,5,2020-02-08 00:00:00
20273,202734298@email.com,student_3933,2020-06-06 00:00:00,0,7,2020-06-07 00:00:00
5197,51972035@email.com,student_6115,2020-03-18 00:00:00,1,9,2020-03-19 00:00:00
16220,162205068@email.com,student_3715,2020-06-26 00:00:00,0,0,2020-06-27 00:00:00
11593,115938499@email.com,student_545,2020-07-10 00:00:00,0,0,2020-07-11 00:00:00
23233,232332041@email.com,student_5082,2019-09-03 00:00:00,0,4,2019-09-04 00:00:00
9693,96936565@email.com,student_3609,2020-03-19 00:00:00,0,7,2020-03-20 00:00:00
3070,30705294@email.com,student_6200,2020-07-03 00:00:00,1,9,2020-07-04 00:00:00
1328,13285475@email.com,student_4389,2019-06-20 00:00:00,1,4,2019-06-21 00:00:00
18832,188325401@email.com,student_9154,2019-01-01 00:00:00,0,5,2019-01-02 00:00:00
2280,2280711@email.com,student_4413,2019-10-21 00:00:00,0,0,2019-10-22 00:00:00
7267,72674467@email.com,student_1596,2019-07-15 00:00:00,0,12,2019-07-16 00:00:00
13023,130237163@email.com,student_5640,2020-01-28 00:00:00,1,7,2020-01-29 00:00:00
4793,47936462@email.com,student_6867,2020-02-28 00:00:00,0,11,2020-02-29 00:00:00
19874,19874785@email.com,student_1453,2019-03-27 00:00:00,0,9,2019-03-28 00:00:00
6705,67054492@email.com,student_4362,2019-07-25 00:00:00,1,4,2019-07-26 00:00:00
13666,136662759@email.com,student_6862,2020-07-13 00:00:00,1,12,2020-07-14 00:00:00
16340,163403515@email.com,student_1840,2019-12-27 00:00:00,1,1,2019-12-28 00:00:00
1505,15057346@email.com,student_5553,2019-04-03 00:00:00,1,1,2019-04-04 00:00:00
23439,234392508@email.com,student_1883,2019-10-04 00:00:00,0,11,2019-10-05 00:00:00
10967,109677487@email.com,student_3499,2020-08-16 00:00:00,1,6,2020-08-17 00:00:00
23585,235851530@email.com,student_9177,2019-06-06 00:00:00,0,7,2019-06-07 00:00:00
5112,51123241@email.com,student_8478,2019-11-08 00:00:00,1,9,2019-11-09 00:00:00
17138,17138180@email.com,student_3065,2020-06-04 00:00:00,0,6,2020-06-05 00:00:00
21623,216235474@email.com,student_5702,2020-06-26 00:00:00,1,8,2020-06-27 00:00:00
11721,117214056@email.com,student_4272,2019-08-24 00:00:00,1,5,2019-08-25 00:00:00
20866,20866528@email.com,student_3162,2020-02-29 00:00:00,1,10,2020-03-01 00:00:00
18273,182731872@email.com,student_8701,2019-06-11 00:00:00,1,2,2019-06-12 00:00:00
24016,240167091@email.com,student_3899,2020-06-13 00:00:00,1,11,2020-06-14 00:00:00
11503,11503569@email.com,student_6678,2019-05-17 00:00:00,1,9,2019-05-18 00:00:00
16830,168305557@email.com,student_6022,2020-06-07 00:00:00,1,5,2020-06-08 00:00:00
8623,86232921@email.com,student_1348,2019-06-23 00:00:00,1,0,2019-06-24 00:00:00
26606,266067729@email.com,student_5537,2019-07-25 00:00:00,0,8,2019-07-26 00:00:00
26705,267052450@email.com,student_2173,2019-02-09 00:00:00,0,5,2019-02-10 00:00:00
13555,135558225@email.com,student_983,2020-01-25 00:00:00,0,11,2020-01-26 00:00:00
22562,225622267@email.com,student_2293,2019-01-19 00:00:00,0,9,2019-01-20 00:00:00
22036,220364622@email.com,student_7598,2019-04-06 00:00:00,0,4,2019-04-07 00:00:00
22224,22224381@email.com,student_5650,2020-05-26 00:00:00,1,3,2020-05-27 00:00:00
1647,1647841@email.com,student_66,2020-02-16 00:00:00,1,11,2020-02-17 00:00:00
19990,19990948@email.com,student_2415,2020-02-07 00:00:00,0,2,2020-02-08 00:00:00
281,281441@email.com,student_3979,2019-08-08 00:00:00,1,1,2019-08-09 00:00:00
1093,10938655@email.com,student_1825,2020-06-01 00:00:00,0,7,2020-06-02 00:00:00
18265,182652099@email.com,student_8815,2019-03-31 00:00:00,0,9,2019-04-01 00:00:00
22984,229847720@email.com,student_7968,2019-12-09 00:00:00,0,12,2019-12-10 00:00:00
12551,125512292@email.com,student_6780,2020-03-11 00:00:00,0,3,2020-03-12 00:00:00
12299,122997861@email.com,student_2768,2020-03-18 00:00:00,0,6,2020-03-19 00:00:00
24607,246076099@email.com,student_4475,2019-03-20 00:00:00,0,3,2019-03-21 00:00:00
18615,186156444@email.com,student_6694,2019-10-12 00:00:00,1,5,2019-10-13 00:00:00
18108,181088636@email.com,student_3347,2020-03-08 00:00:00,0,2,2020-03-09 00:00:00
15144,151446492@email.com,student_7978,2019-12-28 00:00:00,1,2,2019-12-29 00:00:00
22941,229414024@email.com,student_6721,2019-10-16 00:00:00,1,11,2019-10-17 00:00:00
11459,114593781@email.com,student_265,2020-03-07 00:00:00,1,0,2020-03-08 00:00:00
13495,134952849@email.com,student_2246,2019-12-03 00:00:00,1,1,2019-12-04 00:00:00
21444,214446053@email.com,student_2513,2020-07-02 00:00:00,0,3,2020-07-03 00:00:00
21946,219464868@email.com,student_9505,2020-04-02 00:00:00,0,7,2020-04-03 00:00:00
7798,77985671@email.com,student_2068,2019-10-10 00:00:00,1,6,2019-10-11 00:00:00
8907,8907929@email.com,student_7749,2019-12-07 00:00:00,0,6,2019-12-08 00:00:00
12160,121602312@email.com,student_7823,2019-05-06 00:00:00,1,10,2019-05-07 00:00:00
9335,93355510@email.com,student_6611,2019-09-27 00:00:00,0,10,2019-09-28 00:00:00
24363,243638513@email.com,student_2250,2019-11-13 00:00:00,0,9,2019-11-14 00:00:00
13653,136534735@email.com,student_2270,2020-08-15 00:00:00,1,8,2020-08-16 00:00:00
9567,95677997@email.com,student_1817,2020-05-25 00:00:00,1,12,2020-05-26 00:00:00
12171,121719025@email.com,student_3023,2019-03-16 00:00:00,0,10,2019-03-17 00:00:00
19987,199871879@email.com,student_2823,2020-02-20 00:00:00,1,3,2020-02-21 00:00:00
24239,242393498@email.com,student_331,2019-12-06 00:00:00,0,12,2019-12-07 00:00:00
25969,259693738@email.com,student_340,2019-04-18 00:00:00,0,9,2019-04-19 00:00:00
16059,160593685@email.com,student_2469,2020-07-16 00:00:00,1,5,2020-07-17 00:00:00
8095,80955767@email.com,student_8539,2019-08-19 00:00:00,0,3,2019-08-20 00:00:00
5727,57274427@email.com,student_5485,2019-05-27 00:00:00,1,8,2019-05-28 00:00:00
1381,13819155@email.com,student_3124,2019-11-23 00:00:00,1,2,2019-11-24 00:00:00
15421,154215280@email.com,student_4568,2019-06-28 00:00:00,1,7,2019-06-29 00:00:00
4149,41497870@email.com,student_1901,2019-04-29 00:00:00,0,4,2019-04-30 00:00:00
16397,163977169@email.com,student_6905,2019-10-20 00:00:00,1,8,2019-10-21 00:00:00
